
SENTENCE|WORD|POS|NER|SUBJECT|PREDICATE|OBJECT 
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|NNPS|NNS|O|different location|is with|additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|NNPS|NNS|O|nnp Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|NNPS|NNS|O|nnp Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|NNPS|NNS|O|nnp Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|NNPS|NNS|O|nnp Vehicles|returned to|different location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|NNPS|NNS|O|nnp Vehicles|can|can take from one location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|NNPS|NNS|O|nnp Vehicles|returned to|location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|NNPS|NNS|O|nnp Vehicles|returned to|different location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|NNPS|NNS|O|nnp Vehicles|returned to|different location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|NNPS|NNS|O|nnp Vehicles|returned to|location with charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|NNPS|NNS|O|nnp Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|NNPS|NNS|O|nnp Vehicles|returned to|same location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|NNPS|NNS|O|nnp Vehicles|can|can take
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|Vehicles|NNPS|O|different location|is with|additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|Vehicles|NNPS|O|nnp Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|Vehicles|NNPS|O|nnp Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|Vehicles|NNPS|O|nnp Vehicles|returned to|location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|Vehicles|NNPS|O|nnp Vehicles|returned to|different location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|Vehicles|NNPS|O|nnp Vehicles|can|can take from one location
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|Vehicles|NNPS|O|nnp Vehicles|returned to|location with additional charge
NNPS Vehicles can be taken from one location and returned to the same location or to the same location or to a different location with an additional charge.|Vehicles|NNPS|O|nnp Vehicles|returned to|different location with charge
